YEAR,JURISDICTION,FINES,ARRESTS,CHARGES,POPULATION,FINES_PER_CAPITA,ARRESTS_PER_CAPITA,CHARGES_PER_CAPITA,FINES_PER_100K,ARRESTS_PER_100K,CHARGES_PER_100K
2023,ACT,288,0,0,253264,0.001137153,0,0,113.7153326,0,0
2023,NSW,13285,0,187,13460626,0.000986953,0,1.38924E-05,98.69526128,0,1.389237024
2023,NT,205,5,14,573960,0.000357168,8.71141E-06,2.43919E-05,35.71677469,0.871140846,2.439194369
2023,SA,5769,0,0,5477434,0.00105323,0,0,105.3230399,0,0
2023,TAS,2428,0,37,2896072,0.000838377,0,1.27759E-05,83.83769464,0,1.277592546
2023,VIC,31342,0,0,8363864,0.003747311,0,0,374.7311051,0,0
2023,WA,3592,7,157,1856774,0.001934538,3.76998E-06,8.45553E-05,193.4538075,0.376997955,8.455525551
2024,ACT,26351,2,13,255004,0.103335634,7.84301E-06,5.09796E-05,10333.5634,0.784301423,5.097959248
2024,NSW,14725,0,208,13698705,0.001074919,0,1.51839E-05,107.4919126,0,1.518391702
2024,NT,244,1,11,575640,0.000423876,1.7372E-06,1.91092E-05,42.38760336,0.173719686,1.910916545
2024,QLD,75032,0,0,6982044,0.010746423,0,0,1074.642325,0,0
2024,SA,4601,0,0,5584009,0.00082396,0,0,82.395999,0,0
2024,TAS,2815,0,32,2966279,0.000949,0,1.07879E-05,94.90004143,0,1.078792656
2024,VIC,43896,0,0,8483977,0.005173989,0,0,517.3988567,0,0
2024,WA,3731,4,203,1878226,0.001986449,2.12967E-06,0.000108081,198.6448915,0.212966917,10.80807102